id,authors,original_title,title,language_code
9212,Randall Wallace,Braveheart,Braveheart,eng
9213,"Bill Willingham, Mark Buckingham, Steve Leialoha, Jim Fern, Jimmy Palmiotti, Andrew Pepoy","Fables, Volume 7: Arabian Nights (and Days)","Fables, Vol. 7: Arabian Nights [and Days] (Fables, #7)",eng
9214,André Aciman,Call Me by Your Name,Call Me by Your Name,
9215,Anne Michaels,Fugitive Pieces,Fugitive Pieces,eng
9216,Terry Brooks,Armageddon's Children,"Armageddon's Children (Genesis of Shannara, #1)",
9217,Richard   Preston,The Cobra Event,The Cobra Event,en-US
9218,Brodi Ashton,Everbound,"Everbound (Everneath, #2)",en-US
9219,Richard Stearns,The Hole in Our Gospel: What does God expect of Us?  The Answer that Changed my Life and Might Just Change the World,The Hole in Our Gospel: What does God expect of Us? The Answer that Changed my Life and Might Just Change the World,en-US
9220,Gary Ezzo,On Becoming Baby Wise: Giving Your Infant the Gift of Nighttime Sleep,On Becoming Baby Wise: Giving Your Infant the Gift of Nighttime Sleep,
9221,نور عبدالمجيد,,رغم الفراق,ara
9222,Steve Coll,"Ghost Wars: The Secret History of the CIA, Afghanistan, and Bin Laden, from the Soviet Invasion to September 10, 2001","Ghost Wars: The Secret History of the CIA, Afghanistan, and bin Laden from the Soviet Invasion to September 10, 2001",eng
9223,Anonymous,La vida del Lazarillo de Tormes y sus fortunas y adversidades ,La vida del Lazarillo de Tormes,spa
9224,E.C. Diskin,,Broken Grace,eng
9225,John Wyndham,The Midwich Cuckoos,The Midwich Cuckoos,eng
9226,Phyllis T. Smith,,I Am Livia,en-US
9227,Sandra Brown,Smoke Screen,Smoke Screen,en-US
9228,"Jeff Smith, Thomas E. Sniegoski, Steve Hamaker",,Bone: Tall Tales,eng
9229,"Jennifer L. Holm, Tad Carpenter",The Fourteenth Goldfish,The Fourteenth Goldfish,eng
9230,"Kathryn Jackson, Gustav Tenggren",Tawny Scrawny Lion (Little Golden Book),Tawny Scrawny Lion,
9231,Don Richardson,Peace Child,Peace Child: An Unforgettable Story of Primitive Jungle Treachery in the 20th Century,
9232,Don DeLillo,Libra ,Libra,eng
9233,John le Carré,The Honourable Schoolboy,The Honourable Schoolboy,eng
9234,Robin Hobb,Renegade's Magic,"Renegade's Magic (Soldier Son, #3)",eng
9235,Hugh Howey,,"Second Shift: Order (Shift, #2)",eng
9236,James Redfield,The Tenth Insight ,"The Tenth Insight: Holding the Vision (Celestine Prophecy, #2)",en-CA
9237,Jed Rubenfeld,The Interpretation of Murder,"The Interpretation of Murder (Freud, #1)",eng
9238,"Mark Waid, Alfred Gough, Miles Millar, Dave McCaig, Gerry Alanguilan, Leinil Francis Yu",Superman: Birthright 1-12,Superman: Birthright,en-GB
9239,"Margret Rey, H.A. Rey, Martha Weston",Curious George Visits the Library,Curious George Visits the Library,en-US
9240,Julian Barnes,Arthur & George,Arthur & George,eng
9241,Gerald N. Lund,"The Work and the Glory, Vol. 3: Truth Will Prevail","Truth Will Prevail (The Work and the Glory, #3)",
9242,Karina Halle,Sins & Needles,"Sins & Needles (The Artists Trilogy, #1)",eng
9243,"E.H. Gombrich, Caroline Mustill, Clifford Harper",Eine kurze Weltgeschichte für junge Leser: Von der Urzeit bis zur Gegenwart,A Little History of the World,eng
9244,H.P. Mallory,Fire Burn and Cauldron Bubble,"Fire Burn and Cauldron Bubble (Jolie Wilkins, #1)",eng
9245,"Natsuki Takaya, Alethea Nibley, Athena Nibley",フルーツバスケット 4,"Fruits Basket, Vol. 4",en-US
9246,Geneen Roth,,"Women, Food and God: An Unexpected Path to Almost Everything",en-US
9247,"Naguib Mahfouz, William M. Hutchins, Olive E. Kenny",بين القصرين,Palace Walk (The Cairo Trilogy #1),eng
9248,Andrew  Peterson,First to Kill ,"First to Kill (Nathan McBride, #1)",eng
9249,Frank Bettger,How I Raised Myself from Failure to Success in Selling,How I Raised Myself from Failure to Success in Selling,
9250,Billy Crystal,,"Still Foolin' 'Em: Where I've Been, Where I'm Going, and Where the Hell Are My Keys",eng
9251,Jackie Collins,Lucky,"Lucky (Lucky Santangelo, #2)",en-US
9252,"Stephen Schwartz, Gregory Maguire",Wicked - Piano/Vocal Arrangement,Wicked - Piano/Vocal Arrangement,
9253,Erma Bombeck,If Life Is a Bowl of Cherries—What Am I Doing in the Pits?,If Life Is a Bowl of Cherries What Am I Doing in the Pits?,en-US
9254,Bernard Cornwell,Vagabond,"Vagabond (The Grail Quest, #2)",en-US
9255,Frances Hodgson Burnett,Little Lord Fauntleroy,Little Lord Fauntleroy,
9256,Cheryl McIntyre,Sometimes Never,"Sometimes Never (Sometimes Never, #1)",eng
9257,George R.R. Martin,The Mystery Knight,"The Mystery Knight (The Tales of Dunk and Egg, #3)",eng
9258,Olivia Cunning,Double Time,"Double Time (Sinners on Tour, #5)",en-US
9259,Holly Black,,"Red Glove (Curse Workers, #2)",en-US
9260,Rhonda Byrne,The Magic (The Secret #3),"The Magic (The Secret, #3)",eng
9261,Mariana Zapata,,Kulti,
9262,"Bill Hybels, Lavonne Neff",Too Busy Not to Pray: Slowing Down to Be With God,Too Busy Not to Pray: Slowing Down to Be With God,en-US
9263,Philip Roth,Indignation,Indignation,eng
9264,Teju Cole,Open City,Open City,eng
9265,Dave Pelzer,"My Story: ""A Child Called It"", ""The Lost Boy"", ""A Man Named Dave""","My Story: ""A Child Called It"", ""The Lost Boy"", ""A Man Named Dave""",en-US
9266,Melissa de la Cruz,Witches of East End,"Witches of East End (The Beauchamp Family, #1)",eng
9267,Anita Shreve,All He Ever Wanted,All He Ever Wanted,eng
9268,Clive Barker,Imajica,The Fifth Dominion (Imajica Part #1/2),eng
9269,Vi Keeland,Worth the Fight,"Worth the Fight (MMA Fighter, #1)",eng
9270,Robin McKinley,Rose Daughter,Rose Daughter,eng
9271,Janice  Thompson,"Fools Rush In (Weddings by Bella, #1)","Fools Rush In (Weddings by Bella, #1)",en-US
9272,Sharon Creech,Ruby Holler,Ruby Holler,
9273,Jen Lancaster,,"My Fair Lazy: One Reality Television Addict's Attempt to Discover If Not Being A Dumb Ass Is the New Black, or, a Culture-Up Manifesto",eng
9274,Bernard Cornwell,The Pagan Lord,"The Pagan Lord (The Saxon Stories, #7)",en-US
9275,"Zig Ziglar, Al Mayton",See You at the Top: 25th Anniversary Edition,See You at the Top,
9276,Ian McGuire,The North Water,The North Water,eng
9277,Greg Bear,The Forge of God,"The Forge of God (Forge of God, #1)",eng
9278,Robert Dugoni,,"In the Clearing (Tracy Crosswhite, #3)",eng
9279,Brad Thor,Hidden Order,"Hidden Order (Scot Harvath, #12)",eng
9280,Alison Weir, ,Eleanor of Aquitaine: A Life ,en-US
9281,"Aeschylus, Judith Affleck, Philip de May, Patricia E. Easterling, John     Harrison",Ἀγαμέμνων,"Agamemnon (Oresteia, #1)",eng
9282,Kevin Hearne,Staked,"Staked (The Iron Druid Chronicles, #8)",eng
9283,"David Baggett, Shawn E. Klein",Harry Potter and Philosophy: If Aristotle Ran Hogwarts,Harry Potter and Philosophy: If Aristotle Ran Hogwarts,
9284,Maya Banks,"Sweet Persuasion (Sweet Series, #2)","Sweet Persuasion (Sweet, #2)",eng
9285,"P.C. Cast, Kristin Cast",Redeemed,"Redeemed (House of Night, #12)",eng
9286,Henry Marsh,"Do No Harm: Stories of Life, Death and Brain Surgery","Do No Harm: Stories of Life, Death and Brain Surgery",eng
9287,Max Barry,Jennifer Government,Jennifer Government,eng
9288,David Baldacci,The Christmas Train,The Christmas Train,
9289,Christine Feehan,"Dark Destiny (Carpathians, #13)","Dark Destiny (Dark, #13)",eng
9290,"Frank Miller, Lynn Varley",Batman: The Dark Knight Strikes Again,"Batman: The Dark Knight Strikes Again (The Dark Knight Saga, #2)",eng
9291,Katharine Hepburn,Me: Stories of My Life,Me: Stories of My Life,eng
9292,Neil A. Fiore,The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play,The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play,eng
9293,Anna Todd,After Ever Happy,"After Ever Happy (After, #4)",en-US
9294,Joel C. Rosenberg,The Auschwitz Escape,The Auschwitz Escape,eng
9295,Bill Bryson,Made in America: An Informal History of the English Language in the United States,Made in America: An Informal History of the English Language in the United States,en-US
9296,"Alice  Miller, Ruth Ward",Das Drama des begabten Kindes und die Suche nach dem wahren Selbst: eine Um- und Fortschreibung,The Drama of the Gifted Child: The Search for the True Self,en-GB
9297,Dale Wasserman,One Flew Over the Cuckoo's Nest (script),One Flew Over the Cuckoo's Nest,
9298,H.P. Lovecraft,The Case of Charles Dexter Ward,The Case of Charles Dexter Ward,eng
9299,Austin Grossman,Soon I Will Be Invincible,Soon I Will Be Invincible,eng
9300,Janet Fitch,Paint It Black,Paint it Black,eng
9301,Karen Kingsbury,Ever After,"Ever After (Lost Love, #2)",en-US
9302,Graham Swift,Last Orders,Last Orders,
9303,"Roland Barthes, Annette Lavers",Mythologies,Mythologies,eng
9304,"Aristotle, Malcolm Heath",Περὶ ποιητικῆς,Poetics,eng
9305,Melanie Gideon,Wife 22,Wife 22,
9306,Colleen Oakley,,Before I Go,
9307,Mike Lupica,Travel Team,Travel Team,
9308,Susan Cooper,"The Dark Is Rising Sequence (The Dark Is Rising, #1-5)",The Dark Is Rising Sequence  (The Dark Is Rising #1-5),eng
9309,Margot Livesey,,The Flight of Gemma Hardy,eng
9310,Ted Dekker,Saint,"Saint (Paradise, #2)",en-US
9311,"Immanuel Kant, Mary J. Gregor, Christine M. Korsgaard",Grundlegung zur Metaphysik der Sitten,Groundwork of the Metaphysics of Morals,eng
9312,"Douglas Preston, Lincoln Child",Crimson Shore,"Crimson Shore (Pendergast, #15)",eng
9313,Theodore Sturgeon,More Than Human,More Than Human,eng
9314,"James Patterson, Michael Ledwidge",Burn,"Burn (Michael Bennett, #7)",eng
9315,Donna Russo Morin,,The King's Agent,en-US
9316,Dee Henderson,The Healer,The Healer (O'Malley #5),eng
9317,Ernest Hemingway,Islands in the Stream,Islands in the Stream,
9318,Dee Henderson,The Guardian,The Guardian (O'Malley #2),eng
9319,Bisco Hatori,桜蘭高校ホスト部 15,"Ouran High School Host Club, Vol. 15 (Ouran High School Host Club, #15)",eng
9320,"Erlend Loe, Tor Ketil Solberg",Naiv.Super.,Naïve. Super,eng
9321,"Meca Tanaka, 田中メカ",キスよりも早く1,キスよりも早く1 [Kisu Yorimo Hayaku 1] (Faster than a Kiss #1),jpn
9322,Andy Andrews,"The Noticer: Sometimes, all a person needs is a little perspective.","The Noticer: Sometimes, All a Person Needs Is a Little Perspective",eng
9323,Iris Murdoch,Under The Net,Under the Net,eng
9324,John Lanchester,Capital,Capital,
9325,"P.C. Cast, Kristin Cast",Lenobia's Vow,"Lenobia's Vow (House of Night Novellas, #2)",en-US
9326,Elle Kennedy,,"The Goal (Off-Campus, #4)",eng
9327,Eoin Colfer,"Artemis Fowl Boxed Set (Artemis Fowl, #1-5)","Artemis Fowl Boxed Set, Bks 1-5 (Artemis Fowl, #1-5)",en-US
9328,Shana Norris,,"The Boyfriend Thief (Stolen Kiss, #1)",eng
9329,Peter  May,The Lewis Man,"The Lewis Man (The Lewis Trilogy, #2)",eng
9330,Terry Brooks,The Elves of Cintra ,"The Elves of Cintra (Genesis of Shannara, #2)",eng
9331,Trudi Canavan,Priestess of the White,"Priestess of the White (Age of the Five, #1)",eng
9332,Jessica Sorensen,,"The Vision (Fallen Star, #3)",eng
9333,Robert Ludlum,The Gemini Contenders,The Gemini Contenders,eng
9334,Conn Iggulden,"The Field of Swords (Emperor, #3)","The Field of Swords (Emperor, #3)",en-US
9335,Blake Crouch,Abandon,Abandon,en-US
9336,Linda Fairstein,Final Jeopardy,"Final Jeopardy (Alexandra Cooper, #1)",en-US
9337,Jay Winik,April 1865: The Month That Saved America (P.S.),April 1865: The Month That Saved America,
9338,Jessica Verday,The Haunted,"The Haunted (The Hollow, #2)",en-CA
9339,Dee Henderson,,The Protector (O'Malley #4),eng
9340,Julie Buxbaum,Tell Me Three Things,Tell Me Three Things,eng
9341,Cecily von Ziegesar,"The It Girl (It Girl, Book 1)","The It Girl (It Girl, #1)",eng
9342,Lynsay Sands,Single White Vampire,Single White Vampire (Argeneau #3),eng
9343,Robert Jordan,"The Wheel of Time: Boxed Set  (Wheel of Time, #1-8)","The Wheel of Time: Boxed Set  (Wheel of Time, #1-8)",
9344,Daniel Goleman,Social Intelligence: The New Science of Human Relationships,Social Intelligence: The New Science of Human Relationships,
9345,"HaveYouSeenThisGirL, Jan Irene Villar",,Diary ng Panget,fil
9346,Susan Elizabeth Phillips,Call Me Irresistible,"Call Me Irresistible (Wynette, Texas #5)",eng
9347,Robin S. Sharma,Who Will Cry When You Die? Life Lessons from the Monk Who Sold His Ferrari,Who Will Cry When You Die? Life Lessons from the Monk Who Sold His Ferrari,eng
9348,Jennifer McMahon,Promise Not to Tell,Promise Not to Tell,eng
9349,Debora Geary,A Modern Witch,"A Modern Witch (A Modern Witch, #1)",eng
9350,Andy Andrews,The Traveler's Gift: Seven Decisions that Determine Personal Success,The Traveler's Gift: Seven Decisions that Determine Personal Success,eng
9351,Elle Casey,Shine Not Burn,"Shine Not Burn (Shine Not Burn, #1)",eng
9352,Margaret Peterson Haddix,Double Identity,Double Identity,
9353,"Si Robertson, Mark Schlabach",,Si-cology 1: Tales and Wisdom from Duck Dynasty’s Favorite Uncle,eng
9354,Tom Angleberger,Darth Paper Strikes Back,"Darth Paper Strikes Back (Origami Yoda, #2)",eng
9355,Kady Cross,The Girl in the Steel Corset,"The Girl in the Steel Corset (Steampunk Chronicles, #1)",eng
9356,Daniel Glattauer,Gut gegen Nordwind,"Gut gegen Nordwind (Gut gegen Nordwind, #1)",ger
9357,"James Lincoln Collier, Christopher Collier",My Brother Sam Is Dead,My Brother Sam Is Dead,eng
9358,Linda Howard,Dream Man,Dream Man,eng
9359,Tom Holland,Rubicon: The Last Years of the Roman Republic,Rubicon: The Last Years of the Roman Republic,eng
9360,Stephen King,"The Green Mile, Part 6: Coffey on the Mile","The Green Mile, Part 6: Coffey on the Mile",eng
9361,Laurie Halse Anderson,,Catalyst,en-US
9362,Molly Harper,"Nice Girls Don't Have Fangs (Jane Jameson, #1)","Nice Girls Don't Have Fangs (Jane Jameson, #1)",en-US
9363,"Anne Rice, Anne Rampling",Belinda,Belinda,en-US
9364,Eloisa James,When Beauty Tamed the Beast,"When Beauty Tamed the Beast (Fairy Tales, #2)",eng
9365,Richard Paul Evans,Miles to Go,"Miles to Go (The Walk, #2)",
9366,Julie Garwood,The Gift,"The Gift (Crown's Spies, #3)",eng
9367,Derf Backderf,My Friend Dahmer,My Friend Dahmer,eng
9368,Julie Garwood,The Lion's Lady,"The Lion's Lady (Crown's Spies, #1)",eng
9369,Mary Kay Andrews,,Beach Town,
9370,Cindy C. Bennett,Heart on a Chain,Heart on a Chain,en-GB
9371,Brian Jacques,The Legend of Luke,"The Legend of Luke (Redwall, #12)",
9372,"Dick King-Smith, Maggie Kneen",The Sheep-Pig,Babe: The Gallant Pig,eng
9373,Wally Lamb,Wishin' and Hopin': A Christmas Story,Wishin' and Hopin',eng
9374,Jack McCallum,Dream Team,"Dream Team: How Michael, Magic, Larry, Charles, and the Greatest Team of All Time Conquered the World and Changed the Game of Basketball Forever",eng
9375,"Kerry Patterson, Joseph Grenny, David Maxfield, Ron McMillan, Al Switzler",Influencer: The Power to Change Anything,Influencer: The Power to Change Anything,en-GB
9376,Roger Zelazny,The Hand of Oberon - The Courts of Chaos ,The Hand of Oberon (The Chronicles of Amber #4),eng
9377,Maya Banks,No Place to Run,"No Place to Run (KGI, #2)",eng
9378,"Jeff Smith, Steve Hamaker","The Dragonslayer (Bone, #4)","The Dragonslayer (Bone, #4)",eng
9379,Joel Fuhrman,Eat to Live,Eat to Live: The Revolutionary Formula for Fast and Sustained Weight Loss,
9380,Tessa Dare,A Week to Be Wicked,"A Week to Be Wicked (Spindle Cove, #2)",eng
9381,Ann M. Martin,,Rain Reign,eng
9382,Karen Chance,Claimed By Shadow,"Claimed By Shadow (Cassandra Palmer, #2)",en-US
9383,"Susan S. Adler, Renée Graef, Nancy Niles","Meet Samantha: An American Girl (American Girls: Samantha, #1)","Meet Samantha: An American Girl (American Girls: Samantha, #1)",eng
9384,Sebastian Barry,The Secret Scripture,The Secret Scripture,eng
9385,"Greg Rucka, J.H. Williams III, Rachel Maddow",Batwoman: Elegy,Batwoman: Elegy,eng
9386,Julie Otsuka,When the Emperor Was Divine,When the Emperor Was Divine,eng
9387,Sophie Jordan,Foreplay,"Foreplay (The Ivy Chronicles, #1)",eng
9388,John Sandford,Night Prey,"Night Prey (Lucas Davenport, #6)",eng
9389,Dorothy L. Sayers,Clouds of Witness,"Clouds of Witness (Lord Peter Wimsey, #2)",eng
9390,Stephanie Bond,Body Movers ,"Body Movers (Body Movers, #1)",eng
9391,Anthony Bourdain,"The Nasty Bits: Collected Varietal Cuts, Useable Trim, Scraps, and Bones","The Nasty Bits: Collected Varietal Cuts, Usable Trim, Scraps, and Bones",
9392,George Saunders,Lincoln in the Bardo,Lincoln in the Bardo,eng
9393,William Gibson,Zero History,"Zero History (Blue Ant, #3)",eng
9394,Chelsea Fine,Sophie & Carter,Sophie & Carter,eng
9395,Louis Sachar,Small Steps,"Small Steps (Holes, #2)",eng
9396,Alex Marwood,The Wicked Girls,The Wicked Girls,eng
9397,Simon R. Green,Agents of Light and Darkness,"Agents of Light and Darkness (Nightside, #2)",eng
9398,John Brunner,Stand on Zanzibar,Stand on Zanzibar,eng
9399,Gwen Cooper,Homer's Odyssey ,Homer's Odyssey,en-US
9400,Agatha Christie,Sad Cypress,"Sad Cypress (Hercule Poirot, #21)",eng
9401,"Michael Dante DiMartino, Bryan Konietzko",Avatar: Last Airbender v. 1 (Avatar (Graphic Novels)),Avatar Volume 1: The Last Airbender (Avatar #1),eng
9402,Enid Blyton,Five Go to Smuggler's Top,"Five Go to Smuggler's Top (Famous Five, #4)",eng
9403,Sara Paretsky,Indemnity Only,"Indemnity Only (V.I. Warshawski, #1)",eng
9404,Enid Blyton,Five Run Away Together,"Five Run Away Together (Famous Five, #3)",en-US
9405,Danielle Steel,The Promise,The Promise,en-US
9406,Fannie Flagg,A Redbird Christmas,A Redbird Christmas,eng
9407,Leon Uris,The Haj,The Haj,eng
9408,Guy Gavriel Kay,The Darkest Road,"The Darkest Road (The Fionavar Tapestry, #3)",eng
9409,Bette Greene,Summer of My German Soldier,"Summer of My German Soldier (Summer of My German Soldier, #1)",
9410,"George R.R. Martin, Gardner R. Dozois, Joe Abercrombie, Gillian Flynn, Matthew Hughes, Joe R. Lansdale, Michael Swanwick, David  Ball, Carrie Vaughn, Scott Lynch, Bradley Denton, Cherie Priest, Daniel Abraham, Paul Cornell, Steven Saylor, Garth Nix, Walter Jon Williams, Phyllis Eisenstein, Lisa Tuttle, Neil Gaiman, Connie Willis, Patrick Rothfuss",Rogues,Rogues,eng
9411,Jodi Daynard,,"The Midwife's Revolt (The Midwife Series, #1)",eng
9412,Cora Reilly,Bound by Honor,"Bound by Honor (Born in Blood Mafia Chronicles, #1)",eng
9413,Tijan,,Anti-Stepbrother,eng
9414,Lara Adrian,Deeper than Midnight,"Deeper Than Midnight (Midnight Breed, #9)",en-US
9415,Faith Hunter,Mercy Blade,"Mercy Blade (Jane Yellowrock, #3)",eng
9416,Cara Lockwood,I Do (But I Don't),I Do -- But I Don't,
9417,Judy Schachner,Skippyjon Jones in Mummy Trouble (Skippyjon Jones),"Skippyjon Jones in Mummy Trouble (Skippyjon Jones, #3)",en-US
9418,Mason Currey,Daily Rituals: How Artists Work,Daily Rituals: How Artists Work,eng
9419,"Kevin Malarkey, Alex Malarkey",The Boy Who Came Back from Heaven,"The Boy Who Came Back from Heaven: A Remarkable Account of Miracles, Angels, and Life beyond This World",eng
9420,Kitty French,,"Knight & Stay (Knight, #2)",eng
9421,Jacqueline Winspear,An Incomplete Revenge,"An Incomplete Revenge (Maisie Dobbs, #5)",en-GB
9422,Jennifer McMahon,The Night Sister,The Night Sister,eng
